# log10mustar log10mustar_err log10lambda log10lambda_err
1.235645771026611328e+01 8.576150983572006226e-02 1.614980459213256836e+00 3.402461484074592590e-02
1.243632125854492188e+01 7.024433463811874390e-02 1.616905450820922852e+00 2.989120595157146454e-02
1.249479579925537109e+01 8.714710921049118042e-02 1.531770110130310059e+00 2.396766282618045807e-02
1.247879600524902344e+01 1.100681275129318237e-01 1.636619091033935547e+00 3.391896933317184448e-02
1.223568534851074219e+01 5.692263692617416382e-02 1.644350767135620117e+00 3.933128342032432556e-02
1.248485755920410156e+01 8.346536755561828613e-02 1.508983850479125977e+00 3.014094196259975433e-02
1.251065826416015625e+01 1.279147118330001831e-01 1.502991437911987305e+00 3.559480607509613037e-02
1.133921909332275391e+01 2.216337025165557861e-01 1.581573128700256348e+00 3.264034166932106018e-02
1.243403720855712891e+01 1.694946587085723877e-01 1.527661561965942383e+00 3.468559682369232178e-02
1.248705863952636719e+01 6.908703595399856567e-02 1.550445914268493652e+00 3.671580180525779724e-02
1.247795581817626953e+01 1.406763195991516113e-01 1.521125435829162598e+00 3.651176020503044128e-02
1.238628005981445312e+01 1.315693557262420654e-01 1.389502048492431641e+00 3.695044666528701782e-02
1.234669685363769531e+01 1.454865634441375732e-01 1.465642929077148438e+00 3.132666647434234619e-02
1.249264907836914062e+01 8.526612073183059692e-02 1.460166454315185547e+00 4.010820388793945312e-02
1.249116611480712891e+01 1.189209818840026855e-01 1.504860043525695801e+00 3.544396907091140747e-02
1.245716285705566406e+01 1.065259277820587158e-01 1.467904567718505859e+00 3.342779353260993958e-02
1.249521827697753906e+01 2.119720578193664551e-01 1.457402110099792480e+00 3.220495954155921936e-02
1.237405586242675781e+01 1.557976901531219482e-01 1.556190252304077148e+00 4.852667823433876038e-02
1.242072486877441406e+01 1.361524462699890137e-01 1.519125342369079590e+00 3.395935520529747009e-02
1.227325248718261719e+01 1.238984391093254089e-01 1.509599089622497559e+00 3.018614090979099274e-02
1.247578811645507812e+01 1.164778918027877808e-01 1.415460824966430664e+00 3.971630707383155823e-02
1.245742797851562500e+01 8.225091546773910522e-02 1.482324838638305664e+00 3.185823187232017517e-02
1.235078907012939453e+01 1.091433688998222351e-01 1.362467885017395020e+00 3.114832751452922821e-02
1.251822948455810547e+01 1.471728980541229248e-01 1.429731845855712891e+00 3.408484533429145813e-02
1.250052928924560547e+01 1.573888659477233887e-01 1.440195679664611816e+00 3.509714826941490173e-02
1.232942962646484375e+01 1.165578141808509827e-01 1.407238602638244629e+00 3.329596295952796936e-02
1.249016475677490234e+01 1.181578636169433594e-01 1.568888425827026367e+00 4.221460223197937012e-02
1.236499118804931641e+01 1.585891693830490112e-01 1.398593187332153320e+00 3.255942091345787048e-02
1.246557521820068359e+01 1.195542961359024048e-01 1.424279093742370605e+00 3.347073867917060852e-02
1.225246334075927734e+01 8.337897807359695435e-02 1.539872527122497559e+00 5.108954757452011108e-02
1.237098312377929688e+01 1.276077032089233398e-01 1.495647311210632324e+00 3.246767818927764893e-02
1.242714405059814453e+01 7.622617483139038086e-02 1.397533416748046875e+00 3.717848286032676697e-02
1.243403720855712891e+01 1.042507067322731018e-01 1.450648069381713867e+00 3.703295812010765076e-02
1.251632881164550781e+01 1.280998289585113525e-01 1.467453122138977051e+00 3.477673605084419250e-02
1.251523876190185547e+01 1.404586434364318848e-01 1.473284840583801270e+00 4.333476722240447998e-02
1.250288772583007812e+01 1.663442999124526978e-01 1.459936738014221191e+00 3.538141399621963501e-02
1.247599983215332031e+01 8.262583613395690918e-02 1.443071365356445312e+00 3.956140577793121338e-02
1.251166915893554688e+01 1.908214986324310303e-01 1.478819370269775391e+00 3.880610316991806030e-02
1.247750759124755859e+01 1.303969323635101318e-01 1.449001908302307129e+00 3.538411110639572144e-02
1.238082122802734375e+01 6.974057853221893311e-02 1.377447247505187988e+00 3.926884382963180542e-02
1.250828266143798828e+01 2.203570604324340820e-01 1.404114723205566406e+00 3.185811266303062439e-02
1.225330924987792969e+01 1.419330239295959473e-01 1.415969610214233398e+00 3.756028786301612854e-02
1.246830081939697266e+01 1.558356881141662598e-01 1.367897391319274902e+00 3.321636840701103210e-02
1.243135547637939453e+01 1.080200821161270142e-01 1.440676212310791016e+00 3.655060380697250366e-02
1.244015312194824219e+01 8.474659174680709839e-02 1.437058687210083008e+00 3.366155922412872314e-02
1.236987495422363281e+01 1.247323006391525269e-01 1.358132958412170410e+00 3.599414601922035217e-02
1.245886898040771484e+01 1.289118379354476929e-01 1.463369369506835938e+00 4.174848273396492004e-02
1.242278194427490234e+01 1.506126523017883301e-01 1.355510950088500977e+00 3.489437699317932129e-02
1.251103878021240234e+01 1.053162515163421631e-01 1.385702490806579590e+00 3.345764428377151489e-02
1.246039867401123047e+01 1.205662265419960022e-01 1.438991785049438477e+00 3.696286678314208984e-02
1.216347122192382812e+01 8.828429877758026123e-02 1.434142708778381348e+00 3.622980415821075439e-02
